"run","tick","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount","IntegralBHGR","IntegralGRCount1","IntegralGRCount2","IntegralGRErtragCount1","IntegralGRErtragCount2","IntegralGRSichtCount1","IntegralGRSichtCount2","IntegralSTCount1","IntegralSTCount2","IntegralSTErtragCount1","IntegralSTErtragCount2","IntegralSTSichtCount1","IntegralSTSichtCount2","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRSicht1","IntegralBHGRSicht2","IntegralBHST1","IntegralBHST2","IntegralBHSTErtrag1","IntegralBHSTErtrag2","IntegralBHSTSicht1","IntegralBHSTSicht2"
8,166.0,70.0,140.0,6199.0,1377.0,5073.0,1684.0,554.0,1045.0,40519.0,8828.0,39379.0,522.0,720.0,964.0,221.0,333.0,563.0,482.0,14999.0,25520.0,5880.0,2948.0,14123.0,25256.0,137.0,385.0,20.0,50.0,73.0,67.0,2432.0,3767.0,852.0,525.0,1916.0,3157.0
10,166.0,121.0,200.0,6508.0,1256.0,5390.0,2335.0,915.0,1383.0,42543.0,8228.0,41082.0,611.0,737.0,1598.0,205.0,710.0,563.0,820.0,15777.0,26766.0,5378.0,2850.0,14604.0,26478.0,162.0,449.0,20.0,101.0,81.0,119.0,2546.0,3962.0,796.0,460.0,2026.0,3364.0
12,166.0,72.0,175.0,6499.0,960.0,5283.0,2291.0,634.0,1237.0,39968.0,6528.0,37962.0,597.0,991.0,1300.0,235.0,399.0,712.0,525.0,15150.0,24818.0,5208.0,1320.0,14136.0,23826.0,207.0,390.0,22.0,50.0,106.0,69.0,2542.0,3957.0,765.0,195.0,2040.0,3243.0
14,166.0,116.0,262.0,6504.0,1082.0,5220.0,3552.0,824.0,1706.0,41359.0,6871.0,38616.0,953.0,1278.0,2274.0,203.0,621.0,818.0,888.0,15497.0,25862.0,5155.0,1716.0,13932.0,24684.0,256.0,697.0,14.0,102.0,120.0,142.0,2542.0,3962.0,757.0,325.0,1965.0,3255.0
16,166.0,53.0,156.0,6581.0,1355.0,5527.0,1931.0,649.0,1122.0,41887.0,8338.0,40489.0,484.0,700.0,1231.0,168.0,481.0,510.0,612.0,15521.0,26366.0,5174.0,3164.0,14423.0,26066.0,110.0,374.0,2.0,51.0,76.0,80.0,2559.0,4022.0,780.0,575.0,2097.0,3430.0
18,166.0,81.0,157.0,6920.0,966.0,5466.0,2375.0,872.0,1447.0,41618.0,6310.0,39334.0,545.0,916.0,1459.0,254.0,618.0,671.0,776.0,15620.0,25998.0,5254.0,1056.0,14452.0,24882.0,158.0,387.0,30.0,51.0,87.0,70.0,2698.0,4222.0,771.0,195.0,2080.0,3386.0
20,166.0,144.0,229.0,6454.0,1011.0,5219.0,2411.0,918.0,1358.0,40544.0,6640.0,37837.0,700.0,768.0,1643.0,251.0,667.0,609.0,749.0,15156.0,25388.0,4924.0,1716.0,13813.0,24024.0,187.0,513.0,28.0,116.0,97.0,132.0,2497.0,3957.0,751.0,260.0,1978.0,3241.0
22,166.0,4.0,98.0,6529.0,1236.0,5290.0,1694.0,250.0,840.0,44010.0,7932.0,40883.0,596.0,880.0,814.0,132.0,118.0,599.0,241.0,16242.0,27768.0,5688.0,2244.0,14417.0,26466.0,206.0,390.0,4.0,0.0,81.0,17.0,2506.0,4023.0,846.0,390.0,1974.0,3316.0
24,166.0,173.0,307.0,6802.0,1100.0,5427.0,3028.0,1216.0,1829.0,42039.0,7271.0,39073.0,918.0,1000.0,2028.0,275.0,941.0,727.0,1102.0,15549.0,26490.0,5687.0,1584.0,14257.0,24816.0,215.0,703.0,20.0,153.0,121.0,186.0,2648.0,4154.0,840.0,260.0,2049.0,3378.0
26,166.0,122.0,239.0,6672.0,1015.0,5321.0,3189.0,1001.0,1617.0,41091.0,6447.0,37898.0,892.0,998.0,2191.0,261.0,740.0,687.0,930.0,15261.0,25830.0,5333.0,1114.0,13759.0,24139.0,246.0,646.0,20.0,102.0,103.0,136.0,2583.0,4089.0,820.0,195.0,2004.0,3317.0
28,166.0,80.0,172.0,6665.0,1142.0,5573.0,2626.0,767.0,1353.0,43523.0,7739.0,41992.0,760.0,958.0,1668.0,244.0,523.0,685.0,668.0,16267.0,27256.0,5503.0,2236.0,14940.0,27052.0,198.0,562.0,28.0,52.0,90.0,82.0,2580.0,4085.0,797.0,345.0,2081.0,3492.0
30,166.0,113.0,239.0,6739.0,1046.0,5442.0,2898.0,937.0,1672.0,41856.0,6896.0,39365.0,760.0,1111.0,1787.0,219.0,718.0,767.0,905.0,15652.0,26204.0,5114.0,1782.0,14153.0,25212.0,192.0,568.0,12.0,101.0,106.0,133.0,2647.0,4092.0,779.0,267.0,2055.0,3387.0
32,166.0,125.0,264.0,6916.0,1415.0,5584.0,3217.0,1091.0,1949.0,42952.0,9089.0,41482.0,868.0,1309.0,1908.0,300.0,791.0,965.0,984.0,15914.0,27038.0,5679.0,3410.0,14708.0,26774.0,235.0,633.0,22.0,103.0,131.0,133.0,2694.0,4222.0,875.0,540.0,2135.0,3449.0
34,166.0,75.0,209.0,6730.0,1068.0,5374.0,3192.0,731.0,1583.0,40501.0,6922.0,37934.0,961.0,1349.0,1843.0,179.0,552.0,874.0,709.0,15225.0,25276.0,5272.0,1650.0,13712.0,24222.0,267.0,694.0,10.0,65.0,124.0,85.0,2638.0,4092.0,808.0,260.0,2054.0,3320.0
36,166.0,161.0,268.0,6850.0,1153.0,5511.0,3178.0,1134.0,1752.0,40773.0,7234.0,38116.0,861.0,1126.0,2052.0,320.0,814.0,754.0,998.0,15249.0,25524.0,5452.0,1782.0,13894.0,24222.0,219.0,642.0,44.0,117.0,119.0,149.0,2638.0,4212.0,828.0,325.0,2076.0,3435.0
38,166.0,54.0,153.0,6328.0,1038.0,5160.0,1980.0,702.0,1265.0,41477.0,6544.0,38644.0,561.0,786.0,1194.0,146.0,556.0,582.0,683.0,15437.0,26040.0,5158.0,1386.0,14092.0,24552.0,175.0,386.0,2.0,52.0,84.0,69.0,2434.0,3894.0,778.0,260.0,1960.0,3200.0
40,166.0,76.0,215.0,6743.0,1038.0,5350.0,2849.0,652.0,1517.0,42693.0,6804.0,39436.0,884.0,1259.0,1590.0,252.0,400.0,879.0,638.0,15799.0,26894.0,5154.0,1650.0,14092.0,25344.0,247.0,637.0,26.0,50.0,130.0,85.0,2592.0,4151.0,778.0,260.0,2016.0,3334.0
42,166.0,72.0,163.0,6551.0,1310.0,5312.0,2248.0,581.0,1130.0,41508.0,8433.0,40151.0,548.0,869.0,1379.0,217.0,364.0,610.0,520.0,15460.0,26048.0,5353.0,3080.0,14367.0,25784.0,162.0,386.0,22.0,50.0,81.0,82.0,2527.0,4024.0,785.0,525.0,1970.0,3342.0
44,166.0,121.0,223.0,6681.0,1058.0,5341.0,2575.0,971.0,1483.0,42149.0,6763.0,39346.0,778.0,923.0,1652.0,238.0,733.0,605.0,878.0,15759.0,26390.0,5377.0,1386.0,14134.0,25212.0,207.0,571.0,20.0,101.0,90.0,133.0,2592.0,4089.0,798.0,260.0,2017.0,3324.0
46,166.0,9.0,88.0,6622.0,996.0,5235.0,1497.0,451.0,855.0,40795.0,6412.0,38198.0,483.0,649.0,848.0,201.0,250.0,510.0,345.0,15213.0,25582.0,4894.0,1518.0,14042.0,24156.0,161.0,322.0,9.0,0.0,71.0,17.0,2541.0,4081.0,736.0,260.0,1981.0,3254.0
48,166.0,197.0,285.0,6917.0,1130.0,5399.0,3388.0,1379.0,1975.0,42692.0,7259.0,39028.0,754.0,1068.0,2320.0,268.0,1111.0,767.0,1208.0,15450.0,27242.0,5279.0,1980.0,14080.0,24948.0,186.0,568.0,29.0,168.0,98.0,187.0,2636.0,4281.0,805.0,325.0,2023.0,3376.0
50,166.0,85.0,185.0,6705.0,998.0,5362.0,2618.0,923.0,1590.0,42458.0,6545.0,39619.0,706.0,1065.0,1553.0,337.0,586.0,811.0,779.0,15762.0,26696.0,5357.0,1188.0,14473.0,25146.0,190.0,516.0,33.0,52.0,100.0,85.0,2617.0,4088.0,803.0,195.0,2045.0,3317.0
