"run","tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht"
1,82.0,3.8461538461538463,5.5769230769230775,0.9615384615384616,99.8076923076923,48.46153846153846,82.3076923076923
1,83.0,3.8461538461538463,5.5769230769230775,0.9615384615384616,99.8076923076923,49.03846153846153,82.5
1,84.0,4.038461538461538,5.5769230769230775,0.38461538461538464,99.8076923076923,2.6923076923076925,84.03846153846153
1,85.0,4.038461538461538,5.5769230769230775,0.38461538461538464,99.8076923076923,9.230769230769232,86.53846153846155
1,86.0,4.038461538461538,5.5769230769230775,0.38461538461538464,99.8076923076923,20.0,90.57692307692308
1,87.0,4.230769230769231,5.5769230769230775,0.576923076923077,99.8076923076923,29.03846153846154,92.88461538461539
1,88.0,4.423076923076923,5.5769230769230775,0.576923076923077,99.8076923076923,40.76923076923077,95.57692307692308
1,89.0,4.615384615384616,5.5769230769230775,0.576923076923077,99.8076923076923,51.92307692307693,97.5
1,90.0,4.615384615384616,5.5769230769230775,0.576923076923077,99.8076923076923,59.80769230769231,98.07692307692307
1,91.0,4.615384615384616,5.5769230769230775,0.576923076923077,99.8076923076923,63.46153846153846,98.46153846153847
1,92.0,4.615384615384616,5.5769230769230775,0.576923076923077,99.8076923076923,66.73076923076923,99.03846153846155
1,93.0,4.807692307692308,5.5769230769230775,0.576923076923077,99.8076923076923,69.61538461538461,99.23076923076923
1,94.0,5.0,5.5769230769230775,0.7692307692307693,99.8076923076923,74.42307692307692,99.61538461538461
1,95.0,3.653846153846154,4.230769230769231,0.7692307692307693,99.8076923076923,76.34615384615384,99.8076923076923
1,96.0,4.038461538461538,4.230769230769231,0.7692307692307693,99.8076923076923,77.88461538461539,99.8076923076923
1,97.0,4.038461538461538,4.230769230769231,0.7692307692307693,99.8076923076923,79.23076923076923,99.8076923076923
1,98.0,4.230769230769231,4.230769230769231,0.7692307692307693,99.8076923076923,80.1923076923077,99.8076923076923
1,99.0,4.230769230769231,4.230769230769231,0.7692307692307693,99.8076923076923,80.76923076923077,99.8076923076923
1,100.0,4.230769230769231,4.230769230769231,0.7692307692307693,99.8076923076923,80.96153846153847,99.8076923076923
1,101.0,2.307692307692308,2.307692307692308,0.7692307692307693,99.8076923076923,80.96153846153847,99.8076923076923
1,102.0,2.307692307692308,3.653846153846154,0.7692307692307693,99.8076923076923,80.96153846153847,99.8076923076923
1,103.0,2.307692307692308,4.038461538461538,0.7692307692307693,99.8076923076923,80.96153846153847,99.8076923076923
1,104.0,2.307692307692308,4.038461538461538,0.7692307692307693,99.8076923076923,80.96153846153847,99.8076923076923
1,105.0,2.307692307692308,4.230769230769231,0.7692307692307693,100.0,80.96153846153847,99.8076923076923
1,106.0,2.307692307692308,4.423076923076923,0.7692307692307693,100.0,80.96153846153847,99.8076923076923
