"run","tick","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount","IntegralBHGR","IntegralGRCount1","IntegralGRCount2","IntegralGRErtragCount1","IntegralGRErtragCount2","IntegralGRSichtCount1","IntegralGRSichtCount2","IntegralSTCount1","IntegralSTCount2","IntegralSTErtragCount1","IntegralSTErtragCount2","IntegralSTSichtCount1","IntegralSTSichtCount2","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRSicht1","IntegralBHGRSicht2","IntegralBHST1","IntegralBHST2","IntegralBHSTErtrag1","IntegralBHSTErtrag2","IntegralBHSTSicht1","IntegralBHSTSicht2"
32,166.0,16.0,63.0,9466.0,1940.0,8055.0,908.0,159.0,569.0,92120.0,13302.0,84232.0,380.0,662.0,246.0,159.0,0.0,455.0,114.0,35228.0,56892.0,9408.0,3894.0,27340.0,56892.0,120.0,260.0,16.0,0.0,48.0,15.0,3746.0,5720.0,1290.0,650.0,2984.0,5071.0
34,166.0,187.0,822.0,10900.0,1694.0,10273.0,15535.0,1229.0,7183.0,385770.0,22705.0,334668.0,3052.0,13522.0,2013.0,1229.0,0.0,5170.0,2013.0,154308.0,231462.0,22705.0,0.0,103206.0,231462.0,1232.0,1820.0,187.0,0.0,599.0,223.0,4400.0,6500.0,1694.0,0.0,3777.0,6496.0
36,166.0,20.0,84.0,6776.0,1033.0,5217.0,988.0,207.0,626.0,38130.0,6924.0,37402.0,519.0,705.0,283.0,207.0,0.0,538.0,88.0,14766.0,23364.0,5604.0,1320.0,14038.0,23364.0,194.0,325.0,20.0,0.0,80.0,4.0,2681.0,4095.0,838.0,195.0,2025.0,3192.0
38,166.0,20.0,109.0,9262.0,1903.0,7987.0,1157.0,211.0,683.0,89716.0,13131.0,82676.0,763.0,837.0,320.0,211.0,0.0,560.0,123.0,34474.0,55242.0,9303.0,3828.0,27434.0,55242.0,252.0,511.0,20.0,0.0,92.0,17.0,3672.0,5590.0,1253.0,650.0,2969.0,5018.0
40,166.0,168.0,591.0,10900.0,8901.0,10365.0,11017.0,1185.0,5390.0,620559.0,152706.0,541157.0,3725.0,9793.0,1224.0,1185.0,0.0,4166.0,1224.0,209775.0,410784.0,39648.0,113058.0,130373.0,410784.0,1385.0,2340.0,168.0,0.0,461.0,130.0,4400.0,6500.0,2718.0,6183.0,3865.0,6500.0
42,166.0,20.0,93.0,6248.0,905.0,5105.0,1181.0,197.0,744.0,37534.0,6063.0,36811.0,527.0,948.0,233.0,197.0,0.0,614.0,130.0,14698.0,22836.0,5139.0,924.0,13975.0,22836.0,202.0,325.0,20.0,0.0,76.0,17.0,2478.0,3770.0,775.0,130.0,1982.0,3123.0
44,166.0,0.0,36.0,10225.0,3155.0,8790.0,652.0,85.0,425.0,122186.0,21585.0,98032.0,315.0,531.0,121.0,85.0,0.0,367.0,58.0,38508.0,83678.0,10431.0,11154.0,29854.0,68178.0,120.0,195.0,0.0,0.0,36.0,0.0,3932.0,6293.0,1401.0,1754.0,3198.0,5592.0
46,166.0,250.0,1052.0,10900.0,3450.0,10245.0,94523.0,1962.0,11172.0,420430.0,35036.0,366193.0,5468.0,18842.0,75681.0,1962.0,0.0,8746.0,2426.0,165142.0,255288.0,26456.0,8580.0,110905.0,255288.0,1767.0,3701.0,250.0,0.0,804.0,248.0,4400.0,6500.0,2031.0,1419.0,3805.0,6440.0
48,166.0,26.0,72.0,6803.0,940.0,5282.0,812.0,191.0,610.0,39614.0,6280.0,38040.0,436.0,687.0,125.0,191.0,0.0,489.0,121.0,15392.0,24222.0,5098.0,1182.0,13832.0,24208.0,176.0,260.0,26.0,0.0,57.0,15.0,2708.0,4095.0,746.0,194.0,1972.0,3310.0
50,166.0,29.0,119.0,10031.0,2676.0,8331.0,1280.0,257.0,826.0,119453.0,17910.0,91429.0,899.0,1029.0,251.0,257.0,0.0,709.0,117.0,37985.0,81468.0,8687.0,9223.0,26090.0,65339.0,326.0,573.0,29.0,0.0,110.0,9.0,3866.0,6165.0,1177.0,1499.0,2934.0,5397.0
