"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag"
46.0,5150000.0,38.44660194174757,9.70873786407767,9.70873786407767,70.29126213592232,40.0,40.0
47.0,5150000.0,38.83495145631068,12.03883495145631,12.03883495145631,72.42718446601941,40.0,40.0
48.0,5150000.0,38.83495145631068,11.844660194174757,11.844660194174757,73.39805825242719,40.0,40.0
49.0,5150000.0,50.873786407766985,13.009708737864079,13.009708737864079,73.98058252427184,40.0,40.0
50.0,5150000.0,56.116504854368934,13.009708737864079,13.009708737864079,73.98058252427184,40.0,40.0
51.0,5150000.0,57.28155339805825,13.203883495145632,13.203883495145632,73.98058252427184,40.0,40.0
52.0,5150000.0,57.4757281553398,13.203883495145632,13.203883495145632,74.1747572815534,40.0,40.0
53.0,5150000.0,69.90291262135922,13.203883495145632,13.203883495145632,74.1747572815534,40.0,40.0
54.0,5150000.0,72.42718446601941,15.728155339805824,15.728155339805824,74.1747572815534,40.0,40.0
55.0,5150000.0,73.59223300970874,16.116504854368934,16.116504854368934,74.1747572815534,40.0,40.0
56.0,5150000.0,76.50485436893204,19.02912621359223,19.02912621359223,74.1747572815534,40.0,40.0
57.0,5145825.269999999,76.50485436893204,19.02912621359223,19.02912621359223,74.1747572815534,40.0,40.0
58.0,5141513.229999999,76.50485436893204,22.330097087378643,22.330097087378643,74.1747572815534,40.0,40.0
59.0,5137063.879999995,76.69902912621359,22.135922330097088,22.135922330097088,74.1747572815534,40.0,40.0
60.0,5133861.820000001,76.69902912621359,25.436893203883493,16.893203883495143,74.1747572815534,40.0,30.097087378640776
61.0,5130502.900000001,84.07766990291262,26.019417475728158,17.0873786407767,74.1747572815534,40.0,30.097087378640776
62.0,5127051.060000001,85.04854368932038,28.54368932038835,19.41747572815534,74.1747572815534,40.0,30.097087378640776
63.0,5123468.119999998,87.57281553398059,28.54368932038835,19.02912621359223,74.1747572815534,40.0,30.097087378640776
64.0,5119792.2600000035,87.76699029126213,32.038834951456316,20.97087378640777,74.1747572815534,40.0,30.097087378640776
65.0,5116023.480000006,87.96116504854369,31.650485436893206,20.97087378640777,74.1747572815534,40.0,30.097087378640776
66.0,5112161.779999999,87.96116504854369,32.81553398058252,21.941747572815533,74.1747572815534,40.0,30.097087378640776
67.0,5108207.160000001,87.96116504854369,32.81553398058252,21.553398058252426,74.1747572815534,40.0,30.097087378640776
68.0,5104159.620000005,87.96116504854369,32.42718446601941,21.35922330097087,74.1747572815534,40.0,30.097087378640776
69.0,5100019.159999997,87.96116504854369,32.42718446601941,21.74757281553398,74.1747572815534,40.0,30.097087378640776
70.0,5095771.059999997,88.93203883495146,32.81553398058252,21.74757281553398,74.1747572815534,40.0,30.097087378640776
