"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour","pestCount","GRsichtCount","GRertragCount","septoriaCount","STsichtCount","STertragCount"
15.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
16.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
17.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
18.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
19.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
20.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
21.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
22.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
23.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
24.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
25.0,5150000.0,1.1650485436893203,0.0,0.0,72.62135922330097,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
26.0,5150000.0,1.1650485436893203,0.1941747572815534,0.1941747572815534,72.62135922330097,0.0,0.0,1.0,0.0,6,1.0,1.0,501,0.0,0.0
27.0,5150000.0,1.1650485436893203,0.1941747572815534,0.1941747572815534,72.62135922330097,0.0,0.0,1.0,0.0,8,2.0,2.0,501,0.0,0.0
28.0,5150000.0,1.3592233009708738,0.5825242718446602,0.5825242718446602,72.62135922330097,61.74757281553398,61.74757281553398,1.0,0.0,8,5.0,5.0,501,500.0,500.0
29.0,5150000.0,1.3592233009708738,0.5825242718446602,0.5825242718446602,72.62135922330097,67.18446601941747,67.18446601941747,1.0,0.0,15,8.0,8.0,501,1501.0,1501.0
30.0,5150000.0,2.524271844660194,0.9708737864077669,0.9708737864077669,72.62135922330097,70.67961165048544,70.67961165048544,1.0,0.0,15,13.0,13.0,501,3003.0,3003.0
31.0,5150000.0,2.524271844660194,0.9708737864077669,0.9708737864077669,72.62135922330097,72.03883495145631,72.03883495145631,1.0,0.0,15,18.0,18.0,501,5006.0,5006.0
32.0,5150000.0,2.524271844660194,1.1650485436893203,1.1650485436893203,72.62135922330097,72.03883495145631,72.03883495145631,1.0,0.0,15,24.0,24.0,501,7510.0,7510.0
33.0,5150000.0,2.524271844660194,1.1650485436893203,1.1650485436893203,72.62135922330097,72.23300970873787,72.23300970873787,1.0,0.0,15,30.0,30.0,501,10515.0,10515.0
34.0,5150000.0,2.524271844660194,1.1650485436893203,1.1650485436893203,72.62135922330097,72.42718446601941,72.42718446601941,1.0,0.0,15,36.0,36.0,501,14021.0,14021.0
35.0,5150000.0,2.524271844660194,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,51,42.0,42.0,501,18028.0,18028.0
36.0,5150000.0,7.961165048543689,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,51,48.0,48.0,501,22536.0,22536.0
37.0,5150000.0,7.961165048543689,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,51,54.0,54.0,501,27545.0,27545.0
38.0,5150000.0,7.961165048543689,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,75,60.0,60.0,501,33055.0,33055.0
39.0,5150000.0,10.679611650485436,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,75,66.0,66.0,501,39066.0,39066.0
40.0,5150000.0,10.679611650485436,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,75,72.0,72.0,501,45578.0,45578.0
41.0,5150000.0,10.679611650485436,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,75,78.0,78.0,501,52591.0,52591.0
42.0,5150000.0,10.679611650485436,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,75,84.0,84.0,501,60105.0,60105.0
43.0,5150000.0,10.679611650485436,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,75,90.0,90.0,501,68120.0,68120.0
44.0,5150000.0,10.679611650485436,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,75,96.0,96.0,501,76636.0,76636.0
45.0,5150000.0,10.679611650485436,1.1650485436893203,1.1650485436893203,72.62135922330097,72.62135922330097,72.62135922330097,1.0,0.0,75,102.0,102.0,3507,85653.0,85653.0
