"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour"
28.0,5150000.0,15.339805825242719,4.660194174757281,4.660194174757281,72.62135922330097,0.0,0.0,1.0,2.0
29.0,5150000.0,15.922330097087379,7.184466019417475,7.184466019417475,72.62135922330097,0.0,0.0,1.0,2.0
30.0,5150000.0,23.883495145631066,6.990291262135923,6.990291262135923,72.62135922330097,0.0,0.0,1.0,2.0
31.0,5150000.0,26.019417475728158,9.514563106796116,9.514563106796116,72.62135922330097,0.0,0.0,1.0,2.0
32.0,5150000.0,26.796116504854368,9.70873786407767,9.70873786407767,72.62135922330097,0.0,0.0,1.0,2.0
33.0,5150000.0,26.990291262135923,9.902912621359224,9.902912621359224,72.62135922330097,0.0,0.0,1.0,2.0
34.0,5150000.0,27.378640776699033,9.70873786407767,9.70873786407767,72.62135922330097,0.0,0.0,1.0,2.0
35.0,5150000.0,27.378640776699033,9.902912621359224,9.902912621359224,72.62135922330097,0.0,0.0,1.0,2.0
36.0,5150000.0,44.07766990291262,9.70873786407767,9.70873786407767,72.62135922330097,0.0,0.0,1.0,2.0
37.0,5150000.0,46.019417475728154,9.514563106796116,9.514563106796116,72.62135922330097,0.0,0.0,1.0,2.0
38.0,5150000.0,47.37864077669903,9.514563106796116,9.514563106796116,72.62135922330097,0.0,0.0,1.0,2.0
39.0,5150000.0,61.55339805825243,9.514563106796116,9.514563106796116,72.62135922330097,0.0,0.0,1.0,2.0
40.0,5150000.0,63.10679611650486,9.70873786407767,9.70873786407767,72.62135922330097,0.0,0.0,1.0,2.0
41.0,5150000.0,64.07766990291263,9.902912621359224,9.902912621359224,72.62135922330097,61.165048543689316,61.165048543689316,1.0,2.0
42.0,5150000.0,64.66019417475728,9.902912621359224,9.902912621359224,72.62135922330097,66.99029126213593,66.99029126213593,1.0,2.0
43.0,5150000.0,65.4368932038835,9.70873786407767,9.70873786407767,72.62135922330097,69.70873786407768,69.70873786407768,1.0,2.0
44.0,5150000.0,65.4368932038835,9.902912621359224,9.902912621359224,72.62135922330097,71.06796116504854,71.06796116504854,1.0,2.0
