"tick","BefallGR","BefallGRsicht","BefallGRertrag"
54.0,58.05825242718446,7.961165048543689,7.961165048543689
55.0,58.44660194174758,7.961165048543689,7.961165048543689
56.0,60.19417475728155,8.932038834951456,8.932038834951456
57.0,60.58252427184466,8.932038834951456,8.932038834951456
58.0,60.58252427184466,13.980582524271846,13.980582524271846
59.0,60.58252427184466,13.78640776699029,13.78640776699029
60.0,60.77669902912621,17.66990291262136,12.03883495145631
61.0,66.01941747572816,18.058252427184467,12.233009708737864
62.0,66.2135922330097,18.83495145631068,13.398058252427184
63.0,70.09708737864078,18.83495145631068,13.009708737864079
64.0,70.67961165048544,23.300970873786408,17.0873786407767
65.0,70.87378640776699,22.718446601941746,16.50485436893204
66.0,70.87378640776699,26.21359223300971,18.640776699029125
67.0,70.87378640776699,26.990291262135923,19.02912621359223
68.0,70.87378640776699,26.601941747572816,18.83495145631068
69.0,70.87378640776699,26.21359223300971,18.640776699029125
70.0,81.94174757281554,26.601941747572816,19.02912621359223
71.0,82.91262135922331,26.990291262135923,19.80582524271845
72.0,88.54368932038835,28.54368932038835,20.97087378640777
73.0,88.93203883495146,31.456310679611647,23.495145631067963
74.0,88.93203883495146,36.116504854368934,28.349514563106798
75.0,89.126213592233,42.9126213592233,33.398058252427184
76.0,89.126213592233,43.883495145631066,34.1747572815534
77.0,89.126213592233,48.54368932038835,24.271844660194176
78.0,89.126213592233,51.84466019417475,27.378640776699033
79.0,89.126213592233,54.1747572815534,28.932038834951456
80.0,91.06796116504854,56.310679611650485,32.23300970873787
81.0,91.6504854368932,62.33009708737865,39.41747572815534
82.0,91.6504854368932,63.689320388349515,42.13592233009709
83.0,91.84466019417475,65.0485436893204,44.66019417475729
84.0,91.84466019417475,66.01941747572816,14.757281553398057
85.0,91.84466019417475,65.8252427184466,14.951456310679612
86.0,91.84466019417475,68.3495145631068,19.80582524271845
87.0,91.84466019417475,70.67961165048544,27.766990291262132
88.0,91.84466019417475,78.05825242718447,35.728155339805824
89.0,91.84466019417475,81.16504854368932,38.83495145631068
90.0,91.84466019417475,84.46601941747572,42.52427184466019
91.0,91.84466019417475,82.91262135922331,42.33009708737864
92.0,91.84466019417475,84.07766990291262,41.94174757281554
93.0,91.84466019417475,84.27184466019418,43.10679611650485
94.0,91.84466019417475,85.63106796116506,45.04854368932038
95.0,91.84466019417475,85.04854368932038,45.8252427184466
96.0,91.84466019417475,87.18446601941747,48.932038834951456
97.0,91.84466019417475,85.63106796116506,48.737864077669904
98.0,91.84466019417475,78.44660194174757,51.84466019417475
99.0,91.84466019417475,79.41747572815534,52.42718446601942
100.0,91.84466019417475,78.64077669902912,53.592233009708735
101.0,91.84466019417475,79.6116504854369,52.42718446601942
102.0,93.98058252427185,80.0,53.20388349514563
103.0,95.14563106796116,77.47572815533981,52.81553398058253
104.0,95.14563106796116,52.23300970873787,52.23300970873787
105.0,96.31067961165049,51.84466019417475,51.84466019417475
106.0,96.69902912621359,52.62135922330097,52.62135922330097
107.0,96.69902912621359,51.6504854368932,51.6504854368932
108.0,96.69902912621359,53.592233009708735,53.592233009708735
109.0,96.69902912621359,53.398058252427184,53.398058252427184
110.0,96.69902912621359,52.62135922330097,52.62135922330097
111.0,96.69902912621359,52.42718446601942,52.42718446601942
112.0,96.69902912621359,52.23300970873787,52.23300970873787
113.0,96.69902912621359,53.592233009708735,53.592233009708735
114.0,97.28155339805825,52.81553398058253,52.81553398058253
115.0,97.28155339805825,54.1747572815534,54.1747572815534
116.0,97.28155339805825,59.22330097087378,59.22330097087378
117.0,97.28155339805825,59.22330097087378,59.22330097087378
118.0,97.28155339805825,59.22330097087378,59.22330097087378
119.0,97.28155339805825,59.22330097087378,59.22330097087378
120.0,97.28155339805825,59.22330097087378,59.22330097087378
121.0,97.28155339805825,59.22330097087378,59.22330097087378
122.0,97.28155339805825,59.22330097087378,59.22330097087378
123.0,97.28155339805825,59.22330097087378,59.22330097087378
124.0,97.28155339805825,59.22330097087378,59.22330097087378
125.0,97.28155339805825,59.22330097087378,59.22330097087378
126.0,97.28155339805825,59.22330097087378,59.22330097087378
127.0,97.28155339805825,59.22330097087378,59.22330097087378
128.0,97.28155339805825,59.22330097087378,59.22330097087378
129.0,97.28155339805825,59.22330097087378,59.22330097087378
130.0,97.28155339805825,59.22330097087378,59.22330097087378
131.0,97.28155339805825,59.22330097087378,59.22330097087378
132.0,97.28155339805825,59.22330097087378,59.22330097087378
133.0,97.28155339805825,59.22330097087378,59.22330097087378
134.0,97.28155339805825,59.22330097087378,59.22330097087378
135.0,97.28155339805825,59.22330097087378,59.22330097087378
136.0,97.28155339805825,59.22330097087378,59.22330097087378
137.0,97.28155339805825,59.22330097087378,59.22330097087378
138.0,97.28155339805825,59.22330097087378,59.22330097087378
139.0,97.28155339805825,59.22330097087378,59.22330097087378
140.0,97.28155339805825,59.22330097087378,59.22330097087378
141.0,97.28155339805825,59.22330097087378,59.22330097087378
142.0,97.28155339805825,59.22330097087378,59.22330097087378
143.0,97.28155339805825,59.22330097087378,59.22330097087378
144.0,97.28155339805825,59.22330097087378,59.22330097087378
145.0,97.28155339805825,59.22330097087378,59.22330097087378
146.0,97.28155339805825,59.22330097087378,59.22330097087378
147.0,97.28155339805825,59.22330097087378,59.22330097087378
148.0,97.28155339805825,59.22330097087378,59.22330097087378
149.0,97.28155339805825,59.22330097087378,59.22330097087378
150.0,97.28155339805825,59.22330097087378,59.22330097087378
151.0,97.28155339805825,59.22330097087378,59.22330097087378
152.0,97.28155339805825,59.22330097087378,59.22330097087378
153.0,97.28155339805825,59.22330097087378,59.22330097087378
154.0,97.28155339805825,59.22330097087378,59.22330097087378
155.0,97.28155339805825,59.22330097087378,59.22330097087378
