"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour","AnzahlFungizidanw","Location"
17.0,0.0,77.3076923076923,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
18.0,0.0,77.3076923076923,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
19.0,0.0,77.3076923076923,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
20.0,0.0,77.3076923076923,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
21.0,0.0,77.3076923076923,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
22.0,0.0,77.3076923076923,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
23.0,0.0,77.3076923076923,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
24.0,0.0,77.3076923076923,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
25.0,29.51923076923077,77.3076923076923,29.51923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
26.0,29.51923076923077,77.3076923076923,29.51923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
27.0,49.75961538461539,77.3076923076923,49.75961538461539,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
28.0,49.75961538461539,77.3076923076923,49.75961538461539,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
29.0,66.0576923076923,77.3076923076923,66.0576923076923,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
30.0,66.0576923076923,77.3076923076923,66.0576923076923,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
31.0,77.3076923076923,77.3076923076923,77.3076923076923,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
32.0,77.3076923076923,77.3076923076923,77.3076923076923,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
33.0,77.3076923076923,94.90384615384615,77.3076923076923,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
34.0,77.3076923076923,94.90384615384615,77.3076923076923,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
35.0,77.3076923076923,94.90384615384615,77.3076923076923,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
36.0,77.3076923076923,98.99038461538461,77.3076923076923,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
37.0,77.3076923076923,99.85576923076923,77.3076923076923,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
