"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht"
31.0,0.1941747572815534,1.5533980582524272,0.1941747572815534,39.22330097087379,10.87378640776699,10.87378640776699
32.0,0.1941747572815534,1.5533980582524272,0.1941747572815534,39.22330097087379,13.009708737864079,13.009708737864079
33.0,0.1941747572815534,1.5533980582524272,0.1941747572815534,39.22330097087379,17.0873786407767,17.0873786407767
34.0,0.1941747572815534,1.5533980582524272,0.1941747572815534,39.22330097087379,21.553398058252426,21.553398058252426
35.0,0.1941747572815534,1.5533980582524272,0.1941747572815534,39.22330097087379,23.883495145631066,23.883495145631066
36.0,0.1941747572815534,3.300970873786408,0.1941747572815534,39.22330097087379,24.854368932038835,24.854368932038835
37.0,0.1941747572815534,3.300970873786408,0.1941747572815534,39.22330097087379,27.57281553398058,27.57281553398058
38.0,0.1941747572815534,3.300970873786408,0.1941747572815534,39.22330097087379,28.7378640776699,28.7378640776699
39.0,0.1941747572815534,4.660194174757281,0.1941747572815534,39.22330097087379,30.097087378640776,30.097087378640776
40.0,0.1941747572815534,4.660194174757281,0.1941747572815534,39.22330097087379,30.679611650485437,30.679611650485437
41.0,0.1941747572815534,4.660194174757281,0.1941747572815534,39.22330097087379,31.650485436893206,31.650485436893206
42.0,0.1941747572815534,4.660194174757281,0.1941747572815534,39.22330097087379,32.038834951456316,32.038834951456316
43.0,0.1941747572815534,4.660194174757281,0.1941747572815534,39.22330097087379,32.81553398058252,32.81553398058252
44.0,0.1941747572815534,4.660194174757281,0.1941747572815534,39.22330097087379,33.00970873786408,33.00970873786408
45.0,0.5825242718446602,4.660194174757281,0.5825242718446602,39.22330097087379,33.20388349514563,33.20388349514563
46.0,0.9708737864077669,4.660194174757281,0.9708737864077669,99.6116504854369,34.1747572815534,34.1747572815534
47.0,1.3592233009708738,4.660194174757281,1.3592233009708738,99.6116504854369,34.56310679611651,34.56310679611651
48.0,1.3592233009708738,4.660194174757281,1.3592233009708738,99.6116504854369,34.75728155339806,34.75728155339806
49.0,1.3592233009708738,6.213592233009709,1.3592233009708738,99.6116504854369,35.728155339805824,35.728155339805824
50.0,1.3592233009708738,6.796116504854369,1.3592233009708738,99.6116504854369,36.50485436893204,36.50485436893204
51.0,1.5533980582524272,6.796116504854369,1.5533980582524272,99.6116504854369,37.28155339805825,37.28155339805825
52.0,1.5533980582524272,6.796116504854369,1.5533980582524272,99.6116504854369,37.4757281553398,37.4757281553398
53.0,1.5533980582524272,8.155339805825243,1.5533980582524272,99.6116504854369,37.86407766990291,37.86407766990291
54.0,2.1359223300970873,8.932038834951456,2.1359223300970873,99.6116504854369,37.86407766990291,37.86407766990291
55.0,2.1359223300970873,8.932038834951456,2.1359223300970873,99.6116504854369,37.86407766990291,37.86407766990291
56.0,2.524271844660194,8.932038834951456,2.524271844660194,99.6116504854369,37.86407766990291,37.86407766990291
57.0,2.524271844660194,8.932038834951456,2.524271844660194,99.6116504854369,37.86407766990291,37.86407766990291
58.0,3.1067961165048543,8.932038834951456,2.7184466019417477,99.6116504854369,38.25242718446602,38.25242718446602
