"tick","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","Ertrag"
31.0,10.29126213592233,3.8834951456310676,3.8834951456310676,50.09708737864078,0.0,0.0,5150000.0
32.0,10.679611650485436,3.8834951456310676,3.8834951456310676,50.09708737864078,0.0,0.0,5150000.0
33.0,10.679611650485436,3.8834951456310676,3.8834951456310676,50.09708737864078,38.640776699029125,38.640776699029125,5150000.0
34.0,11.067961165048544,3.8834951456310676,3.8834951456310676,50.09708737864078,44.66019417475729,44.66019417475729,5150000.0
35.0,11.262135922330096,3.8834951456310676,3.8834951456310676,50.09708737864078,47.57281553398058,47.57281553398058,5150000.0
36.0,20.0,3.8834951456310676,3.8834951456310676,50.09708737864078,49.320388349514566,49.320388349514566,5150000.0
37.0,21.16504854368932,3.8834951456310676,3.8834951456310676,50.09708737864078,49.70873786407767,49.70873786407767,5150000.0
38.0,22.135922330097088,3.8834951456310676,3.8834951456310676,50.09708737864078,49.70873786407767,49.70873786407767,5150000.0
39.0,29.514563106796114,3.8834951456310676,3.8834951456310676,50.09708737864078,49.90291262135923,49.90291262135923,5150000.0
40.0,31.06796116504854,3.8834951456310676,3.8834951456310676,50.09708737864078,49.90291262135923,49.90291262135923,5150000.0
41.0,31.650485436893206,3.8834951456310676,3.8834951456310676,50.09708737864078,49.90291262135923,49.90291262135923,5150000.0
42.0,32.038834951456316,3.8834951456310676,3.8834951456310676,50.09708737864078,49.90291262135923,49.90291262135923,5150000.0
43.0,32.23300970873787,3.8834951456310676,3.8834951456310676,50.09708737864078,49.90291262135923,49.90291262135923,5150000.0
44.0,32.42718446601941,3.8834951456310676,3.8834951456310676,50.09708737864078,49.90291262135923,49.90291262135923,5150000.0
45.0,32.42718446601941,4.854368932038835,4.854368932038835,50.09708737864078,50.09708737864078,50.09708737864078,5150000.0
46.0,32.42718446601941,7.3786407766990285,7.3786407766990285,86.99029126213593,50.09708737864078,50.09708737864078,5150000.0
47.0,32.42718446601941,8.349514563106796,8.349514563106796,90.09708737864077,50.09708737864078,50.09708737864078,5150000.0
48.0,32.62135922330097,8.737864077669903,8.737864077669903,91.45631067961165,50.09708737864078,50.09708737864078,5150000.0
49.0,41.94174757281554,8.932038834951456,8.932038834951456,91.84466019417475,50.09708737864078,50.09708737864078,5150000.0
50.0,46.990291262135926,8.54368932038835,8.54368932038835,92.03883495145631,50.09708737864078,50.09708737864078,5150000.0
51.0,49.12621359223301,8.155339805825243,8.155339805825243,92.23300970873787,50.09708737864078,50.09708737864078,5150000.0
52.0,49.51456310679612,8.737864077669903,8.737864077669903,92.23300970873787,50.09708737864078,50.09708737864078,5150000.0
53.0,56.50485436893204,8.349514563106796,8.349514563106796,92.42718446601941,50.09708737864078,50.09708737864078,5150000.0
54.0,57.66990291262136,10.87378640776699,10.87378640776699,92.42718446601941,50.09708737864078,50.09708737864078,5150000.0
55.0,57.86407766990291,11.067961165048544,11.067961165048544,92.42718446601941,50.09708737864078,50.09708737864078,5150000.0
56.0,60.0,12.815533980582524,12.815533980582524,92.42718446601941,50.09708737864078,50.09708737864078,5150000.0
57.0,60.38834951456311,12.427184466019417,12.427184466019417,92.42718446601941,50.09708737864078,50.09708737864078,5144261.0400000075
58.0,60.38834951456311,13.203883495145632,13.203883495145632,92.42718446601941,50.09708737864078,50.09708737864078,5138281.04
59.0,60.38834951456311,13.203883495145632,13.203883495145632,92.42718446601941,50.09708737864078,50.09708737864078,5132060.000000001
60.0,60.38834951456311,20.0,13.592233009708737,92.42718446601941,50.09708737864078,37.66990291262136,5127836.050000007
61.0,66.2135922330097,19.80582524271845,13.78640776699029,92.42718446601941,50.09708737864078,37.66990291262136,5123421.429999998
62.0,66.79611650485437,20.776699029126213,14.36893203883495,92.42718446601941,50.09708737864078,37.66990291262136,5118852.020000001
63.0,69.90291262135922,20.97087378640777,14.36893203883495,92.42718446601941,50.09708737864078,37.66990291262136,5114098.84
64.0,70.48543689320388,20.776699029126213,14.36893203883495,92.42718446601941,50.09708737864078,37.66990291262136,5109190.869999995
65.0,70.67961165048544,21.35922330097087,14.563106796116504,92.42718446601941,50.09708737864078,37.66990291262136,5104128.109999996
66.0,70.67961165048544,24.854368932038835,17.66990291262136,92.42718446601941,50.09708737864078,37.66990291262136,5098910.559999994
67.0,70.87378640776699,25.24271844660194,18.058252427184467,92.42718446601941,50.09708737864078,37.66990291262136,5093538.219999999
68.0,70.87378640776699,25.24271844660194,17.66990291262136,92.42718446601941,50.09708737864078,37.66990291262136,5088011.089999998
69.0,70.87378640776699,25.436893203883493,17.864077669902912,92.42718446601941,50.09708737864078,37.66990291262136,5082329.169999999
70.0,81.55339805825243,24.660194174757283,17.66990291262136,92.42718446601941,50.09708737864078,37.66990291262136,5076376.539999996
71.0,82.71844660194175,30.679611650485437,21.941747572815533,93.00970873786409,50.09708737864078,37.66990291262136,5070249.340000001
72.0,86.60194174757282,32.81553398058252,24.466019417475728,93.00970873786409,50.09708737864078,37.66990291262136,5063870.289999996
73.0,86.79611650485437,36.116504854368934,27.184466019417474,93.7864077669903,50.09708737864078,37.66990291262136,5057297.120000005
74.0,87.18446601941747,40.97087378640777,33.78640776699029,93.7864077669903,87.37864077669903,75.53398058252428,5050529.830000002
75.0,87.37864077669903,47.37864077669903,38.83495145631068,93.98058252427185,90.29126213592234,79.02912621359224,5043568.419999998
76.0,87.37864077669903,48.737864077669904,41.55339805825243,93.98058252427185,92.03883495145631,80.97087378640776,5036412.890000001
77.0,87.37864077669903,49.51456310679612,41.94174757281554,93.98058252427185,92.23300970873787,81.94174757281554,5029063.240000007
78.0,87.37864077669903,51.45631067961165,28.54368932038835,93.98058252427185,92.23300970873787,58.252427184466015,5024888.74
79.0,87.37864077669903,56.116504854368934,33.00970873786408,93.98058252427185,92.23300970873787,58.252427184466015,5020605.909999997
80.0,89.51456310679612,61.165048543689316,38.44660194174757,93.98058252427185,92.23300970873787,58.252427184466015,5016175.190000002
