"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour"
49.0,5150000.0,78.64077669902912,22.52427184466019,22.52427184466019,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
50.0,5150000.0,83.49514563106796,23.106796116504853,23.106796116504853,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
51.0,5150000.0,83.68932038834951,22.9126213592233,22.9126213592233,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
52.0,5150000.0,83.88349514563107,22.52427184466019,22.52427184466019,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
53.0,5150000.0,90.48543689320388,22.52427184466019,22.52427184466019,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
54.0,5150000.0,92.23300970873787,25.8252427184466,25.8252427184466,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
55.0,5150000.0,92.42718446601941,26.019417475728158,26.019417475728158,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
56.0,5150000.0,92.81553398058252,32.23300970873787,32.23300970873787,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
57.0,5134883.0200000005,92.81553398058252,32.42718446601941,32.42718446601941,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
58.0,5118959.430000001,92.81553398058252,36.310679611650485,36.310679611650485,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
59.0,5102229.230000006,93.00970873786409,36.50485436893204,36.50485436893204,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
60.0,5090352.260000002,93.00970873786409,44.66019417475729,33.00970873786408,99.80582524271846,68.15533980582525,57.4757281553398,1.0,2.0
61.0,5077925.3599999985,93.20388349514563,44.46601941747573,32.62135922330097,99.80582524271846,68.15533980582525,57.4757281553398,1.0,2.0
62.0,5064962.5600000005,93.20388349514563,48.349514563106794,35.92233009708738,99.80582524271846,68.15533980582525,57.4757281553398,1.0,2.0
63.0,5051454.199999998,94.1747572815534,49.320388349514566,36.116504854368934,99.80582524271846,68.15533980582525,57.4757281553398,1.0,2.0
64.0,5037409.940000001,94.1747572815534,51.6504854368932,38.83495145631068,99.80582524271846,68.15533980582525,57.4757281553398,1.0,2.0
