"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour","AnzahlFungizidanw"
17.0,0.0,0.38461538461538464,0.0,44.42307692307692,44.42307692307692,44.42307692307692,3.0,2.0,0.0
18.0,0.0,0.38461538461538464,0.0,44.42307692307692,44.42307692307692,44.42307692307692,3.0,2.0,0.0
19.0,0.0,0.38461538461538464,0.0,44.42307692307692,44.42307692307692,44.42307692307692,3.0,2.0,0.0
20.0,0.0,0.38461538461538464,0.0,44.42307692307692,44.42307692307692,44.42307692307692,3.0,2.0,0.0
21.0,0.0,0.38461538461538464,0.0,44.42307692307692,44.42307692307692,44.42307692307692,3.0,2.0,0.0
22.0,0.0,0.38461538461538464,0.0,44.42307692307692,44.42307692307692,44.42307692307692,3.0,2.0,0.0
23.0,0.0,0.38461538461538464,0.0,44.42307692307692,44.42307692307692,44.42307692307692,3.0,2.0,0.0
24.0,0.0,0.38461538461538464,0.0,44.42307692307692,44.42307692307692,44.42307692307692,3.0,2.0,0.0
25.0,0.04807692307692308,0.38461538461538464,0.04807692307692308,44.42307692307692,44.42307692307692,44.42307692307692,3.0,2.0,0.0
26.0,0.14423076923076925,0.38461538461538464,0.14423076923076925,45.625,44.42307692307692,44.42307692307692,3.0,2.0,0.0
27.0,0.14423076923076925,0.38461538461538464,0.14423076923076925,45.625,44.42307692307692,44.42307692307692,3.0,2.0,0.0
28.0,0.2403846153846154,0.4807692307692308,0.2403846153846154,45.625,44.42307692307692,44.42307692307692,3.0,2.0,0.0
29.0,0.2403846153846154,0.4807692307692308,0.2403846153846154,45.625,44.42307692307692,44.42307692307692,3.0,2.0,0.0
30.0,0.38461538461538464,0.5288461538461539,0.38461538461538464,54.90384615384616,44.42307692307692,44.42307692307692,3.0,2.0,0.0
31.0,0.38461538461538464,0.5288461538461539,0.38461538461538464,54.90384615384616,44.42307692307692,44.42307692307692,3.0,2.0,0.0
32.0,0.38461538461538464,0.5288461538461539,0.38461538461538464,54.90384615384616,44.42307692307692,44.42307692307692,3.0,2.0,0.0
33.0,0.38461538461538464,0.5288461538461539,0.38461538461538464,54.90384615384616,44.42307692307692,44.42307692307692,3.0,2.0,0.0
34.0,0.38461538461538464,0.5288461538461539,0.38461538461538464,54.90384615384616,44.42307692307692,44.42307692307692,3.0,2.0,0.0
35.0,0.38461538461538464,0.5288461538461539,0.38461538461538464,54.90384615384616,44.42307692307692,44.42307692307692,3.0,2.0,0.0
36.0,0.38461538461538464,0.7211538461538461,0.38461538461538464,54.90384615384616,44.42307692307692,44.42307692307692,3.0,2.0,0.0
37.0,0.38461538461538464,0.7211538461538461,0.38461538461538464,54.90384615384616,44.42307692307692,44.42307692307692,3.0,2.0,0.0
38.0,0.38461538461538464,0.7211538461538461,0.38461538461538464,54.90384615384616,44.42307692307692,44.42307692307692,3.0,2.0,0.0
